nohup: ignoring input
/home/ubuntu/telegram_project/bot.py:176: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  conv = ConversationHandler(
2025-12-27 05:42:15,674 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:42:25,837 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:42:36,006 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:42:46,168 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:42:56,328 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:06,492 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:16,659 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:26,819 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:36,980 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:47,140 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:43:57,300 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:07,461 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:17,623 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:27,782 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:37,942 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:48,102 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:44:58,272 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:08,432 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:18,594 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:28,754 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:38,914 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:49,073 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:45:59,233 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:46:09,393 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:46:19,553 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:46:29,738 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:46:39,900 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:46:50,060 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:00,221 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:10,383 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:20,546 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:30,707 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:40,877 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:47:51,038 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
